company	team
H-E-B	SAS
SWBC	SAS
USAA	SAS
VALERO	SAS
SILVER EAGLE DISTRIBUTOR	SAS
BROWN AUTO GROUP	SAS
AMERICAN AIRLINES	DAL
ANHEUSER-BUSCH	DAL
AT&T	DAL
AUDI	DAL
COCA-COLA	DAL
MILLERCOORS	DAL
DR PEPPER SNAPPLE GROUP	DAL
PLAINS CAPITAL BANK	DAL
TEXAS FORD DEALERS	DAL
TXU	DAL
DODGE	LAC
STATE FARM INSURANCE	LAC
KIA	LAC
MERCEDEZ BENZ	LAC
AMERICAN AIRLINES	OKC
MIDFIRST BANK	OKC
CHESAPEAKE ENERGY	OKC
SANDRIDGE ENERGY	OKC
DEVON ENERGY	OKC
LOVE'S COUNTRY'S	OKC
RIVERWIND CASINO	OKC
HERTZ	OKC
WELLS FARGO	POR
SPIRIT MOUNTAIN CASINO	POR
NORTHWEST FORD STORES	POR
KIA	POR
COMCAST	POR
