gameDate	 homeScore	 awayScore	 homeTeam	 awayTeam	venueName	 city
2013-10-29	97	87	IND	ORL	Bankers Life Fieldhouse	Indianapolis
2013-10-29	107	95	MIA	CHI	American Airlines Arena	Miami
2013-10-29	116	103	LAL	LAC	Staples Center	Los Angeles
2013-10-30	98	94	CLE	BKN	Quicken Loans Arena	Cleveland
2013-10-30	114	110	PHI	MIA	Wells Fargo Center	Philadelphia
2013-10-30	93	87	TOR	BOS	Air Canada Centre	Toronto
2013-10-30	113	102	DET	WAS	The Palace of Auburn Hills	Detroit
2013-10-30	90	83	NYK	MIL	Madison Square Garden	New York City
2013-10-30	96	83	HOU	CHA	Toyota Center	Houston
2013-10-30	120	115	MIN	ORL	Target Center	Minneapolis
2013-10-30	95	90	IND	NOH	Bankers Life Fieldhouse	Indianapolis
2013-10-30	118	109	DAL	ATL	American Airlines Center	Dallas
2013-10-30	101	94	SAS	MEM	AT&T Center	San Antonio
2013-10-30	101	98	OKC	UTA	Chesapeake Energy Arena	Oklahoma City
2013-10-30	104	91	PHX	POR	US Airways Center	Phoenix
2013-10-30	90	88	SAC	DEN	Sleep Train Arena	Sacramento
2013-10-30	125	94	GSW	LAL	Oracle Arena	Oakland
2013-10-31	82	81	CHI	NYK	United Center	Chicago
2013-10-31	126	115	LAC	GSW	Staples Center	Los Angeles
2013-11-01	90	84	CHA	CLE	Time Warner Cable Arena	Charlotte
2013-11-01	110	90	ORL	NOH	Amway Center	Orlando
2013-11-01	109	102	PHI	WAS	Wells Fargo Center	Philadelphia
2013-11-01	102	95	ATL	TOR	Philips Arena	Atlanta
2013-11-01	105	98	MIL	BOS	BMO Harris Bradley Center	Milwaukee
2013-11-01	113	105	HOU	DAL	Toyota Center	Houston
2013-11-01	111	108	MEM	DET	FedExForum	Memphis
2013-11-01	100	81	MIN	OKC	Target Center	Minneapolis
2013-11-01	101	100	BKN	MIA	Barclays Center	Brooklyn
2013-11-01	113	98	POR	DEN	Moda Center	Portland
2013-11-01	87	84	PHX	UTA	US Airways Center	Phoenix
2013-11-01	110	101	LAC	SAC	Staples Center	Los Angeles
2013-11-01	91	85	SAS	LAL	AT&T Center	San Antonio
2013-11-02	89	74	IND	CLE	Bankers Life Fieldhouse	Indianapolis
2013-11-02	107	104	PHI	CHI	Wells Fargo Center	Philadelphia
2013-11-02	105	84	NOH	CHA	Smoothie King Center	New Orleans
2013-11-02	111	99	DAL	MEM	American Airlines Center	Dallas
2013-11-02	97	90	TOR	MIL	Air Canada Centre	Toronto
2013-11-02	104	93	HOU	UTA	Toyota Center	Houston
2013-11-02	115	105	POR	SAS	Moda Center	Portland
2013-11-02	98	87	GSW	SAC	Oracle Arena	Oakland
2013-11-03	87	77	DET	BOS	The Palace of Auburn Hills	Detroit
2013-11-03	103	93	MIA	WAS	American Airlines Arena	Miami
2013-11-03	107	86	ORL	BKN	Amway Center	Orlando
2013-11-03	103	96	OKC	PHX	Chesapeake Energy Arena	Oklahoma City
2013-11-03	109	100	MIN	NYK	Target Center	Minneapolis
2013-11-03	105	103	LAL	ATL	Staples Center	Los Angeles
2013-11-04	93	92	CLE	MIN	Quicken Loans Arena	Cleveland
2013-11-04	110	90	GSW	PHI	Oracle Arena	Oakland
2013-11-04	95	88	MEM	BOS	FedExForum	Memphis
2013-11-04	137	118	LAC	HOU	Staples Center	Los Angeles
2013-11-05	104	95	MIA	TOR	American Airlines Arena	Miami
2013-11-05	104	88	BKN	UTA	Barclays Center	Brooklyn
2013-11-05	99	91	IND	DET	Bankers Life Fieldhouse	Indianapolis
2013-11-05	102	97	CHA	NYK	Time Warner Cable Arena	Charlotte
2013-11-05	104	98	PHX	NOH	US Airways Center	Phoenix
2013-11-05	123	104	DAL	LAL	American Airlines Center	Dallas
2013-11-05	102	94	SAS	DEN	AT&T Center	San Antonio
2013-11-05	116	101	HOU	POR	Toyota Center	Houston
2013-11-05	105	100	ATL	SAC	Philips Arena	Atlanta
2013-11-06	92	90	CHA	TOR	Time Warner Cable Arena	Charlotte
2013-11-06	97	80	IND	CHI	Bankers Life Fieldhouse	Indianapolis
2013-11-06	98	90	ORL	LAC	Amway Center	Orlando
2013-11-06	116	102	WAS	PHI	Verizon Center	Washington D.C.
2013-11-06	97	87	BOS	UTA	TD Garden	Boston
2013-11-06	99	84	NOH	MEM	Smoothie King Center	New Orleans
2013-11-06	109	104	MIL	CLE	BMO Harris Bradley Center	Milwaukee
2013-11-06	106	93	GSW	MIN	Oracle Arena	Oakland
2013-11-06	99	96	SAS	PHX	AT&T Center	San Antonio
2013-11-06	107	93	OKC	DAL	Chesapeake Energy Arena	Oklahoma City
2013-11-07	102	97	MIA	LAC	American Airlines Arena	Miami
2013-11-07	109	107	DEN	ATL	Pepsi Center	Denver
2013-11-07	99	98	LAL	HOU	Staples Center	Los Angeles
2013-11-08	101	91	NYK	CHA	Madison Square Garden	New York City
2013-11-08	91	84	IND	TOR	Bankers Life Fieldhouse	Indianapolis
2013-11-08	91	89	BOS	ORL	TD Garden	Boston
2013-11-08	94	79	PHI	CLE	Wells Fargo Center	Philadelphia
2013-11-08	112	108	WAS	BKN	Verizon Center	Washington D.C.
2013-11-08	119	110	OKC	DET	Chesapeake Energy Arena	Oklahoma City
2013-11-08	97	73	CHI	UTA	United Center	Chicago
2013-11-08	116	108	MIN	DAL	Target Center	Minneapolis
2013-11-08	96	85	NOH	LAL	Smoothie King Center	New Orleans
2013-11-08	76	74	SAS	GSW	AT&T Center	San Antonio
2013-11-08	114	103	PHX	DEN	US Airways Center	Phoenix
2013-11-08	104	91	POR	SAC	Moda Center	Portland
2013-11-09	115	91	TOR	UTA	Air Canada Centre	Toronto
2013-11-09	104	94	ATL	ORL	Philips Arena	Atlanta
2013-11-09	96	91	IND	BKN	Bankers Life Fieldhouse	Indianapolis
2013-11-09	127	125	CLE	PHI	Quicken Loans Arena	Cleveland
2013-11-09	111	110	BOS	MIA	TD Garden	Boston
2013-11-09	107	94	LAC	HOU	Staples Center	Los Angeles
2013-11-09	108	90	MEM	GSW	FedExForum	Memphis
2013-11-09	91	83	DAL	MIL	American Airlines Center	Dallas
2013-11-09	96	85	POR	SAC	Moda Center	Portland
2013-11-10	120	89	SAS	NYK	AT&T Center	San Antonio
2013-11-10	106	105	OKC	WAS	Chesapeake Energy Arena	Oklahoma City
2013-11-10	101	94	PHX	NOH	US Airways Center	Phoenix
2013-11-10	113	90	MIN	LAL	Target Center	Minneapolis
2013-11-11	103	94	ATL	CHA	Philips Arena	Atlanta
2013-11-11	95	79	IND	MEM	Bankers Life Fieldhouse	Indianapolis
2013-11-11	109	85	SAS	PHI	AT&T Center	San Antonio
2013-11-11	120	105	BOS	ORL	TD Garden	Boston
2013-11-11	96	81	CHI	CLE	United Center	Chicago
2013-11-11	110	104	HOU	TOR	Toyota Center	Houston
2013-11-11	100	81	DEN	UTA	Pepsi Center	Denver
2013-11-11	109	103	POR	DET	Moda Center	Portland
2013-11-11	109	107	LAC	MIN	Staples Center	Los Angeles
2013-11-12	118	95	MIA	MIL	American Airlines Arena	Miami
2013-11-12	105	95	DAL	WAS	American Airlines Center	Dallas
2013-11-12	113	95	GSW	DET	Oracle Arena	Oakland
2013-11-12	116	95	LAL	NOH	Staples Center	Los Angeles
2013-11-13	94	91	ORL	MIL	Amway Center	Orlando
2013-11-13	123	117	PHI	HOU	Wells Fargo Center	Philadelphia
2013-11-13	89	83	CHA	BOS	Time Warner Cable Arena	Charlotte
2013-11-13	103	87	TOR	MEM	Air Canada Centre	Toronto
2013-11-13	124	95	MIN	CLE	Target Center	Minneapolis
2013-11-13	95	91	NYK	ATL	Madison Square Garden	New York City
2013-11-13	92	79	SAS	WAS	AT&T Center	San Antonio
2013-11-13	111	99	DEN	LAL	Pepsi Center	Denver
2013-11-13	111	105	UTA	NOH	EnergySolutions Arena	Salt Lake City
2013-11-13	90	89	POR	PHX	Moda Center	Portland
2013-11-13	107	86	SAC	BKN	Sleep Train Arena	Sacramento
2013-11-13	111	103	LAC	OKC	Staples Center	Los Angeles
2013-11-14	109	106	HOU	NYK	Toyota Center	Houston
2013-11-14	116	115	GSW	OKC	Oracle Arena	Oakland
2013-11-15	104	77	IND	MIL	Bankers Life Fieldhouse	Indianapolis
2013-11-15	96	80	CHI	TOR	United Center	Chicago
2013-11-15	113	103	ATL	PHI	Philips Arena	Atlanta
2013-11-15	109	96	POR	BOS	Moda Center	Portland
2013-11-15	86	80	CHA	CLE	Time Warner Cable Arena	Charlotte
2013-11-15	110	104	MIA	DAL	American Airlines Arena	Miami
2013-11-15	117	113	DEN	MIN	Pepsi Center	Denver
2013-11-15	100	98	BKN	PHX	Barclays Center	Brooklyn
2013-11-15	91	82	SAS	UTA	AT&T Center	San Antonio
2013-11-15	89	86	MEM	LAL	FedExForum	Memphis
2013-11-15	97	90	DET	SAC	The Palace of Auburn Hills	Detroit
2013-11-16	97	81	MIA	CHA	American Airlines Arena	Miami
2013-11-16	108	100	DAL	ORL	American Airlines Center	Dallas
2013-11-16	103	96	CLE	WAS	Quicken Loans Arena	Cleveland
2013-11-16	110	90	ATL	NYK	Philips Arena	Atlanta
2013-11-16	110	94	CHI	IND	United Center	Chicago
2013-11-16	122	111	HOU	DEN	Toyota Center	Houston
2013-11-16	106	88	MIN	BOS	Target Center	Minneapolis
2013-11-16	135	98	NOH	PHI	Smoothie King Center	New Orleans
2013-11-16	92	79	OKC	MIL	Chesapeake Energy Arena	Oklahoma City
2013-11-16	102	88	GSW	UTA	Oracle Arena	Oakland
2013-11-16	110	103	LAC	BKN	Staples Center	Los Angeles
2013-11-17	118	110	POR	TOR	Moda Center	Portland
2013-11-17	97	86	MEM	SAC	FedExForum	Memphis
2013-11-17	114	99	LAL	DET	Staples Center	Los Angeles
2013-11-18	108	98	POR	BKN	Moda Center	Portland
2013-11-18	86	81	CHI	CHA	United Center	Chicago
2013-11-18	115	113	OKC	DEN	Chesapeake Energy Arena	Oklahoma City
2013-11-18	97	94	DAL	PHI	American Airlines Center	Dallas
2013-11-18	98	87	GSW	UTA	Oracle Arena	Oakland
2013-11-18	106	102	MEM	LAC	FedExForum	Memphis
2013-11-19	104	100	WAS	MIN	Verizon Center	Washington D.C.
2013-11-19	92	86	DET	NYK	The Palace of Auburn Hills	Detroit
2013-11-19	104	88	MIA	ATL	American Airlines Arena	Miami
2013-11-19	109	85	HOU	BOS	Toyota Center	Houston
2013-11-19	107	104	SAC	PHX	Sleep Train Arena	Sacramento
2013-11-20	95	91	CHA	BKN	Time Warner Cable Arena	Charlotte
2013-11-20	98	91	WAS	CLE	Verizon Center	Washington D.C.
2013-11-20	103	96	IND	NYK	Bankers Life Fieldhouse	Indianapolis
2013-11-20	120	92	MIA	ORL	American Airlines Arena	Miami
2013-11-20	108	98	TOR	PHI	Air Canada Centre	Toronto
2013-11-20	93	85	ATL	DET	Philips Arena	Atlanta
2013-11-20	91	82	POR	MIL	Moda Center	Portland
2013-11-20	102	98	LAC	MIN	Staples Center	Los Angeles
2013-11-20	105	98	NOH	UTA	Smoothie King Center	New Orleans
2013-11-20	104	93	SAS	BOS	AT&T Center	San Antonio
