lastName	firstName	position	height	weight	number	draftYear	team	
Antic	Pero	C	83	260	6	2004	ATL	
Ayon	Gustavo	PF	82	250	14	1990	ATL	
Brand	Elton	PF	81	254	42	2002	ATL	
Carroll	DeMarre	SF	80	212	5	2001	ATL	
Horford	Al	C	82	250	15	1999	ATL	
Jenkins	John	SG	76	215	12	2005	ATL	
Korver	Kyle	SG	79	212	26	2010	ATL	
Mack	Shelvin	PG	75	207	8	1999	ATL	
Martin	Cartier	SF	79	220	20	2000	ATL	
Millsap	Paul	PF	80	253	4	2012	ATL	
Muscala	Mike	C	83	239	31	1993	ATL	
Schroder	Dennis	PG	73	168	17	1990	ATL	
Scott	Mike	PF	80	237	32	2013	ATL	
Teague	Jeff	PG	74	181	0	1995	ATL	
Williams	Louis	SG	73	175	3	1990	ATL	
Anthony	Joel	C	81	245	50	2007	BOS	
Babb	Chris	SG	77	225	52	2004	BOS	
Bass	Brandon	PF	80	250	30	2012	BOS	
Bayless	Jerryd	PG	75	200	11	2006	BOS	
Bogans	Keith	SG	77	215	4	1990	BOS	
Bradley	Avery	PG	74	180	0	1993	BOS	
Faverani	Vitor	C	83	260	38	1999	BOS	
Green	Jeff	SF	81	235	8	2006	BOS	
Humphries	Kris	C	81	235	43	2009	BOS	
Johnson	Chris	SF	78	201	12	1998	BOS	
Olynyk	Kelly	C	84	238	41	1998	BOS	
Pressey	Phil	PG	71	175	26	1995	BOS	
Rondo	Rajon	PG	73	186	9	2011	BOS	
Sullinger	Jared	C	81	260	7	2002	BOS	
Wallace	Gerald	SF	79	220	45	1998	BOS	
Anderson	Alan	SF	78	220	6	2006	BKN	
Blatche	Andray	C	83	260	0	2010	BKN	
Collins	Jason	C	84	255	98	1997	BKN	
Garnett	Kevin	C	83	253	2	2005	BKN	
Gutierrez	Jorge	PG	75	195	13	2008	BKN	
Johnson	Joe	SG	79	240	7	1995	BKN	
Kirilenko	Andrei	SF	81	235	47	2006	BKN	
Livingston	Shaun	PG	79	175	14	2007	BKN	
Lopez	Brook	C	84	275	11	1990	BKN	
Pierce	Paul	SF	79	235	34	2000	BKN	
Plumlee	Mason	PF	83	235	1	1991	BKN	
Teague	Marquis	PG	74	190	12	1993	BKN	
Teletovic	Mirza	PF	81	242	33	1997	BKN	
Thornton	Marcus	SG	76	205	10	1999	BKN	
Williams	Deron	PG	75	209	8	2008	BKN	
Biyombo	Bismack	C	81	245	0	1992	CHA	
Douglas-Roberts	Chris	SG	79	210	55	1992	CHA	
Haywood	Brendan	C	84	263	33	2009	CHA	
Henderson	Gerald	SG	77	215	9	1991	CHA	
Jefferson	Al	C	82	289	25	1998	CHA	
Kidd-Gilchrist	Michael	SF	79	232	14	1996	CHA	
McRoberts	Josh	PF	82	240	11	2001	CHA	
Neal	Gary	SG	76	210	12	2002	CHA	
Pargo	Jannero	PG	73	185	5	1993	CHA	
Ridnour	Luke	PG	74	175	13	2001	CHA	
Taylor	Jeff	SF	79	225	44	2010	CHA	
Tolliver	Anthony	PF	80	240	43	2011	CHA	
Walker	Kemba	PG	73	184	15	2000	CHA	
White	D.J.	PF	81	250	8	2012	CHA	
Zeller	Cody	C	84	240	40	1993	CHA	
Amundson	Lou	PF	81	225	17	1993	CHI	
Augustin	D.J.	PG	72	183	14	2008	CHI	
Boozer	Carlos	PF	81	266	5	1991	CHI	
Brewer	Ronnie	SF	79	235	11	1995	CHI	
Butler	Jimmy	SG	79	220	21	1996	CHI	
Dunleavy	Mike	SF	81	230	34	1998	CHI	
Fredette	Jimmer	PG	74	195	32	1991	CHI	
Gibson	Taj	PF	81	225	22	1998	CHI	
Hinrich	Kirk	SG	76	190	12	1997	CHI	
James	Mike	PG	74	188	8	2009	CHI	
Mohammed	Nazr	C	82	250	48	1999	CHI	
Noah	Joakim	C	83	232	13	1999	CHI	
Rose	Derrick	PG	75	190	1	1995	CHI	
