refNumber	gameDate	homeTeam	awayTeam
45	2013-10-29	IND	ORL
73	2013-10-29	MIA	CHI
8	2013-10-29	LAL	LAC
68	2013-10-30	CLE	BKN
54	2013-10-30	PHI	MIA
\N	2013-10-30	TOR	BOS
30	2013-10-30	DET	WAS
72	2013-10-30	NYK	MIL
14	2013-10-30	HOU	CHA
44	2013-10-30	MIN	ORL
8	2013-10-30	IND	NOH
37	2013-10-30	DAL	ATL
47	2013-10-30	SAS	MEM
79	2013-10-30	OKC	UTA
16	2013-10-30	PHX	POR
45	2013-10-30	SAC	DEN
20	2013-10-30	GSW	LAL
7	2013-10-31	CHI	NYK
47	2013-10-31	LAC	GSW
27	2013-11-01	CHA	CLE
26	2013-11-01	ORL	NOH
79	2013-11-01	PHI	WAS
14	2013-11-01	ATL	TOR
10	2013-11-01	MIL	BOS
44	2013-11-01	HOU	DAL
40	2013-11-01	MEM	DET
11	2013-11-01	MIN	OKC
13	2013-11-01	BKN	MIA
42	2013-11-01	POR	DEN
8	2013-11-01	PHX	UTA
54	2013-11-01	LAC	SAC
33	2013-11-01	SAS	LAL
20	2013-11-02	IND	CLE
58	2013-11-02	PHI	CHI
7	2013-11-02	NOH	CHA
31	2013-11-02	DAL	MEM
\N	2013-11-02	TOR	MIL
13	2013-11-02	HOU	UTA
49	2013-11-02	POR	SAS
54	2013-11-02	GSW	SAC
27	2013-11-03	DET	BOS
60	2013-11-03	MIA	WAS
38	2013-11-03	ORL	BKN
60	2013-11-03	OKC	PHX
52	2013-11-03	MIN	NYK
48	2013-11-03	LAL	ATL
16	2013-11-04	CLE	MIN
50	2013-11-04	GSW	PHI
50	2013-11-04	MEM	BOS
77	2013-11-04	LAC	HOU
16	2013-11-05	MIA	TOR
31	2013-11-05	BKN	UTA
24	2013-11-05	IND	DET
8	2013-11-05	CHA	NYK
44	2013-11-05	PHX	NOH
20	2013-11-05	DAL	LAL
36	2013-11-05	SAS	DEN
63	2013-11-05	HOU	POR
28	2013-11-05	ATL	SAC
52	2013-11-06	CHA	TOR
76	2013-11-06	IND	CHI
11	2013-11-06	ORL	LAC
70	2013-11-06	WAS	PHI
61	2013-11-06	BOS	UTA
42	2013-11-06	NOH	MEM
13	2013-11-06	MIL	CLE
8	2013-11-06	GSW	MIN
20	2013-11-06	SAS	PHX
76	2013-11-06	OKC	DAL
52	2013-11-07	MIA	LAC
65	2013-11-07	DEN	ATL
10	2013-11-07	LAL	HOU
33	2013-11-08	NYK	CHA
27	2013-11-08	IND	TOR
13	2013-11-08	BOS	ORL
34	2013-11-08	PHI	CLE
47	2013-11-08	WAS	BKN
49	2013-11-08	OKC	DET
6	2013-11-08	CHI	UTA
36	2013-11-08	MIN	DAL
29	2013-11-08	NOH	LAL
11	2013-11-08	SAS	GSW
17	2013-11-08	PHX	DEN
14	2013-11-08	POR	SAC
\N	2013-11-09	TOR	UTA
60	2013-11-09	ATL	ORL
14	2013-11-09	IND	BKN
73	2013-11-09	CLE	PHI
11	2013-11-09	BOS	MIA
50	2013-11-09	LAC	HOU
50	2013-11-09	MEM	GSW
44	2013-11-09	DAL	MIL
47	2013-11-09	POR	SAC
79	2013-11-10	SAS	NYK
6	2013-11-10	OKC	WAS
43	2013-11-10	PHX	NOH
52	2013-11-10	MIN	LAL
17	2013-11-11	ATL	CHA
13	2013-11-11	IND	MEM
44	2013-11-11	SAS	PHI
24	2013-11-11	BOS	ORL
22	2013-11-11	CHI	CLE
59	2013-11-11	HOU	TOR
12	2013-11-11	DEN	UTA
59	2013-11-11	POR	DET
8	2013-11-11	LAC	MIN
76	2013-11-12	MIA	MIL
13	2013-11-12	DAL	WAS
26	2013-11-12	GSW	DET
60	2013-11-12	LAL	NOH
13	2013-11-13	ORL	MIL
16	2013-11-13	PHI	HOU
15	2013-11-13	CHA	BOS
\N	2013-11-13	TOR	MEM
25	2013-11-13	MIN	CLE
16	2013-11-13	NYK	ATL
10	2013-11-13	SAS	WAS
11	2013-11-13	DEN	LAL
14	2013-11-13	UTA	NOH
28	2013-11-13	POR	PHX
6	2013-11-13	SAC	BKN
50	2013-11-13	LAC	OKC
76	2013-11-14	HOU	NYK
38	2013-11-14	GSW	OKC
72	2013-11-15	IND	MIL
8	2013-11-15	CHI	TOR
50	2013-11-15	ATL	PHI
74	2013-11-15	POR	BOS
52	2013-11-15	CHA	CLE
33	2013-11-15	MIA	DAL
7	2013-11-15	DEN	MIN
35	2013-11-15	BKN	PHX
44	2013-11-15	SAS	UTA
70	2013-11-15	MEM	LAL
37	2013-11-15	DET	SAC
31	2013-11-16	MIA	CHA
6	2013-11-16	DAL	ORL
44	2013-11-16	CLE	WAS
18	2013-11-16	ATL	NYK
24	2013-11-16	CHI	IND
38	2013-11-16	HOU	DEN
35	2013-11-16	MIN	BOS
6	2013-11-16	NOH	PHI
6	2013-11-16	OKC	MIL
6	2013-11-16	GSW	UTA
17	2013-11-16	LAC	BKN
20	2013-11-17	POR	TOR
18	2013-11-17	MEM	SAC
50	2013-11-17	LAL	DET
36	2013-11-18	POR	BKN
12	2013-11-18	CHI	CHA
33	2013-11-18	OKC	DEN
33	2013-11-18	DAL	PHI
18	2013-11-18	GSW	UTA
6	2013-11-18	MEM	LAC
61	2013-11-19	WAS	MIN
22	2013-11-19	DET	NYK
49	2013-11-19	MIA	ATL
79	2013-11-19	HOU	BOS
31	2013-11-19	SAC	PHX
8	2013-11-20	CHA	BKN
20	2013-11-20	WAS	CLE
68	2013-11-20	IND	NYK
43	2013-11-20	MIA	ORL
\N	2013-11-20	TOR	PHI
14	2013-11-20	ATL	DET
73	2013-11-20	POR	MIL
12	2013-11-20	LAC	MIN
18	2013-11-20	NOH	UTA
49	2013-11-20	SAS	BOS
24	2013-11-20	SAC	PHX
12	2013-11-20	DAL	HOU
49	2013-11-20	MEM	GSW
25	2013-11-17	OKC	LAC
43	2013-11-17	DEN	CHI
74	2013-11-22	PHX	CHA
42	2013-11-22	PHI	MIL
\N	2013-11-22	TOR	WAS
11	2013-11-22	IND	BOS
74	2013-11-22	ATL	DET
