company	team
American Airlines	GSW
American Airlines	NOH
American Airlines	OKC
American Airlines	TOR
American Airlines	WAS
Anheuser-Busch	BKN
Anheuser-Busch	BOS
Anheuser-Busch	DEN
Anheuser-Busch	GSW
Anheuser-Busch	LAC
Anheuser-Busch	MEM
Anheuser-Busch	MIN
Anheuser-Busch	WAS
AT&T	CHI
AT&T	CLE
AT&T	DET
AT&T	LAC
AT&T	ORL
Audi	BKN
Audi	BOS
Audi	CHI
Audi	LAC
Audi	MIA
Audi	NYK
Audi	UTA
Brown Auto Group	CHA
Brown Auto Group	CHI
Brown Auto Group	DAL
Brown Auto Group	DEN
Brown Auto Group	GSW
Brown Auto Group	HOU
Brown Auto Group	LAC
Brown Auto Group	PHI
Brown Auto Group	SAC
Brown Auto Group	TOR
Brown Auto Group	UTA
Chesapeake Energy	BKN
Chesapeake Energy	DEN
Chesapeake Energy	HOU
Chesapeake Energy	LAC
Chesapeake Energy	MIL
Chesapeake Energy	NYK
Chesapeake Energy	OKC
Chesapeake Energy	UTA
Coca-Cola	BOS
Coca-Cola	CHI
Coca-Cola	DET
Coca-Cola	MIA
Coca-Cola	NOH
Coca-Cola	PHI
Coca-Cola	POR
Coca-Cola	SAS
Coca-Cola	WAS
Comcast	BKN
Comcast	DET
Comcast	GSW
Comcast	LAL
Comcast	OKC
Comcast	PHX
Comcast	POR
Devon Energy	CHA
Devon Energy	CHI
Devon Energy	CLE
Devon Energy	GSW
Devon Energy	LAL
Devon Energy	MEM
Devon Energy	MIA
Devon Energy	OKC
Devon Energy	UTA
Devon Energy	WAS
Dodge	DEN
Dodge	HOU
Dodge	IND
Dodge	LAL
Dodge	MEM
Dodge	MIN
Dodge	OKC
Dodge	POR
Dodge	SAS
Dodge	TOR
Dr Pepper Snapple Group	BOS
Dr Pepper Snapple Group	CHI
Dr Pepper Snapple Group	DET
Dr Pepper Snapple Group	GSW
Dr Pepper Snapple Group	MIN
Dr Pepper Snapple Group	NYK
Dr Pepper Snapple Group	OKC
Dr Pepper Snapple Group	PHI
Dr Pepper Snapple Group	PHX
H-E-B	LAL
H-E-B	UTA
H-E-B	WAS
Hertz	ATL
Hertz	BKN
Hertz	BOS
Hertz	DAL
Hertz	GSW
Hertz	LAL
Hertz	MEM
Hertz	MIA
Hertz	OKC
Hertz	ORL
Hertz	PHI
Kia	BKN
Kia	DEN
Kia	GSW
Kia	MIN
Kia	ORL
Kia	PHI
Kia	PHX
Kia	TOR
Kia	UTA
Love's Country's	ATL
Love's Country's	BOS
Love's Country's	DAL
Love's Country's	GSW
Love's Country's	IND
Love's Country's	MIN
Love's Country's	NYK
Love's Country's	ORL
Love's Country's	PHI
Love's Country's	SAC
Love's Country's	TOR
Love's Country's	UTA
Mercedez Benz	ATL
Mercedez Benz	DET
Mercedez Benz	LAC
Mercedez Benz	NYK
Midfirst Bank	BKN
Midfirst Bank	DEN
Midfirst Bank	GSW
Midfirst Bank	LAC
Midfirst Bank	ORL
Midfirst Bank	POR
Midfirst Bank	SAS
Millercoors	CHA
Millercoors	CHI
